,Date,Location,Deaths,Injuries,Description,Suspects Deaths,Suspects Injuries,Total,dt,City,State,Location_,loc,loc_name,loc_coords,lat,long,Month,Year,Day
104,"January 4, 1961","Delmont, South Dakota",1,0,"Donald Kurtz, 17-year-old senior at Delmont High School, was fatally wounded by a .22 caliber bullet from a rifle. The shot, intended as a sound effect for a school play, hit him in the chest during a rehearsal minutes before the play was to take place.[117]",0,0,1,1961-01-04,Delmont,South Dakota,"Delmont, South Dakota","Delmont, Douglas County, South Dakota, USA","Delmont, Douglas County, South Dakota, USA","(43.26749, -98.162298)",43.26749,-98.162298,1,1961,4
105,"October 17, 1961","Denver, Colorado",1,2,"14-year-old Tennyson Beard, got into an argument with 15-year-old William Hachmeister, at Morey Junior High School, shooting and wounding him. Another shot fatally struck 14-year-old Deborah Faith Humphrey. Beard attempted suicide, but survived. He was later found not guilty by reason of insanity.[118][119]",0,3,3,1961-10-17,Denver,Colorado,"Denver, Colorado","Denver, Denver County, Colorado, United States of America","Denver, Denver County, Colorado, United States of America","(39.7392364, -104.9848623)",39.7392364,-104.9848623,10,1961,17
106,"November 5, 1963","Cedar Rapids, Iowa",0,1,"15-year-old Augie Holmquist, a student at Jefferson High School, was in the locker room after swimming class and was shot twice in the back and once in the hip with a .22 caliber revolver by student, 16-year-old Randy Schultz. Schultz ran home and told his parents to call the police. The boys had been playing water polo, and Holmquist had reportedly dunked Shultz. When Schultz objected, Holmquist hit him. Schultz retaliated with a gun.[120]",0,0,1,1963-11-05,Cedar Rapids,Iowa,"Cedar Rapids, Iowa","Cedar Rapids, Iowa, USA","Cedar Rapids, Iowa, USA","(41.9758872, -91.6704053)",41.9758872,-91.6704053,11,1963,5
107,"April 27, 1966","Bay Shore, New York",1,0,"A 48-year-old teacher, John S. Lane, was fatally wounded when he tried to stop 16-year-old student James Arthur Frampton, who was armed with a shotgun and seeking boys he had argued with earlier that day. Lane died about six weeks later.[121] Frampton was sentenced to thirty years in prison for the murder.[122]",0,0,1,1966-04-27,Bay Shore,New York,"Bay Shore, New York","Bay Shore, Suffolk County, New York, USA","Bay Shore, Suffolk County, New York, USA","(40.7250986, -73.2453946)",40.7250986,-73.2453946,4,1966,27
108,"August 1, 1966","Austin, Texas",18,31,"University of Texas tower shooting: 25-year-old engineering student, Charles Whitman, shot and killed 15 people and wounded 31 during a 96-minute shooting rampage from the observation deck of the university. He was shot and  killed by police. He had earlier murdered his wife and mother at their homes.[123][124][125] It was the deadliest shooting on a U.S. college campus until the Virginia Tech shooting in 2007.",3,0,49,1966-08-01,Austin,Texas,"Austin, Texas","Austin, Travis County, Texas, United States of America","Austin, Travis County, Texas, United States of America","(30.2711286, -97.7436995)",30.2711286,-97.7436995,8,1966,1
109,"October 5, 1966","Grand Rapids, Minnesota",1,1,"Grand Rapids High School student, 15-year-old David Black, killed school administrator Forrest Willey and seriously wounded fellow student, 14-year-old Kevin Roth.[126][127]",0,0,2,1966-10-05,Grand Rapids,Minnesota,"Grand Rapids, Minnesota","Grand Rapids, Itasca County, Minnesota, 55744, USA","Grand Rapids, Itasca County, Minnesota, 55744, USA","(47.237166, -93.530214)",47.237166,-93.530214,10,1966,5
110,"November 12, 1966","Mesa, Arizona",5,2,"18-year-old Bob Smith, took seven people hostage at Rose-Mar College of Beauty, and ordered them to lie down in a circle. He shot each in the head. Four women and a 3-year-old girl died; another woman and a baby were injured but survived. Police arrested Smith, who reportedly admired Richard Speck and Charles Whitman.[128] Smith was sentenced to death in Arizona's gas chamber, but his sentence was commuted to life when the U.S. Supreme Court ruled the death penalty unconstitutional in 1972.",0,0,7,1966-11-12,Mesa,Arizona,"Mesa, Arizona","Mesa, Maricopa County, Arizona, USA","Mesa, Maricopa County, Arizona, USA","(33.4151117, -111.8314773)",33.4151117,-111.8314773,11,1966,12
111,"May 3, 1967","Northlake, Illinois",1,1,"18-year-old dropout, Michael Pisarski killed his former girlfriend, 17-year-old Christine Mitchell inside West Leyden High School. The school's athletic director was wounded.[129] Pisarski was sentenced to a minimum of 35 years to a maximum of 60 years in prison with 4-5 years, to be served concurrently, for the aggravated battery of the athletic director.[130][131]",0,0,2,1967-05-03,Northlake,Illinois,"Northlake, Illinois","Northlake, Cook County, Illinois, 60164, USA","Northlake, Cook County, Illinois, 60164, USA","(41.9172526, -87.8956185)",41.9172526,-87.8956185,5,1967,3
112,"January 30, 1968","Miami, Florida",1,0,"16-year-old Blanche Ward killed fellow student, 16-year-old Linda Lipscomb, at Miami Jackson High School. According to Ward, she was threatened with a razor by Lipscomb during an argument over a fountain pen, and in the ensuing struggle, her gun went off.[132]",0,0,1,1968-01-30,Miami,Florida,"Miami, Florida","Miami, Miami-Dade County, Florida, USA","Miami, Miami-Dade County, Florida, USA","(25.7742658, -80.1936589)",25.7742658,-80.1936589,1,1968,30
113,"March 25, 1968","High Point, North Carolina",1,0,"15-year-old David Lee Walker, was killed just outside Central High School, by 15-year-old Gerald Locklear.[133]",0,0,1,1968-03-25,High Point,North Carolina,"High Point, North Carolina","High Point, Guilford County, North Carolina, USA","High Point, Guilford County, North Carolina, USA","(35.9556924, -80.0053176)",35.9556924,-80.0053176,3,1968,25
114,"May 22, 1968","Miami, Florida",0,2,"Ernest Lee Grissom, a 15-year-old student at Drew Junior High School, seriously wounded a teacher and a 13-year-old student after he had been reprimanded for behavior.[134]",0,0,2,1968-05-22,Miami,Florida,"Miami, Florida","Miami, Miami-Dade County, Florida, USA","Miami, Miami-Dade County, Florida, USA","(25.7742658, -80.1936589)",25.7742658,-80.1936589,5,1968,22
115,"January 17, 1969","Los Angeles, California",2,0,"Alprentice Carter and John Huggins, two student members of the Black Panther Party, were fatally shot during a student meeting inside Campbell Hall at the University of California, Los Angeles. Reportedly there was disagreement over who would control the school's African American Studies Center. The shooter, Claude Hubert, was never found; three other men were later arrested in connection with the shooting.[135]",0,0,2,1969-01-17,Los Angeles,California,"Los Angeles, California","LA, Los Angeles County, California, United States of America","LA, Los Angeles County, California, United States of America","(34.0536909, -118.2427666)",34.0536909,-118.2427666,1,1969,17
116,"January 23, 1969","Washington, D.C.",1,0,"Herman Clifford, 45-year-old Cardozo Senior High School assistant principal, was killed in the school's hallway by 18-year-old Ronald Joyner, while trying to stop him and two other youths who had robbed the school's bank.[136]",0,0,1,1969-01-23,Washington,D.C.,"Washington, D.C.","Washington, D.C., USA","Washington, D.C., USA","(38.8950092, -77.0365625)",38.8950092,-77.0365625,1,1969,23
117,"May 13, 1969","Winston-Salem, North Carolina",1,0,"13-year-old Ernest Napoleon Carter Jr. was accidentally killed by a 13-year-old classmate at Hanes Junior High School who was armed with a pistol. The shooter was charged with involuntary manslaughter. Carter's mother filed a lawsuit against the Winston-Salem/Forsyth County Board of Education for $50,000 in damages.[137]",0,0,1,1969-05-13,Winston-Salem,North Carolina,"Winston-Salem, North Carolina","Winston-Salem, Forsyth County, North Carolina, USA","Winston-Salem, Forsyth County, North Carolina, USA","(36.0998131, -80.2440518)",36.0998131,-80.2440518,5,1969,13
118,"November 19, 1969","Tomah, Wisconsin",1,0,"46-year-old Martin Mogensen, principal of Tomah Junior High School, was killed in his office by a 14-year-old boy.[138]",0,0,1,1969-11-19,Tomah,Wisconsin,"Tomah, Wisconsin","Tomah, Monroe County, Wisconsin, 54660, USA","Tomah, Monroe County, Wisconsin, 54660, USA","(43.978576, -90.5040214)",43.978576,-90.5040214,11,1969,19
119,"January 5, 1970","Washington, D.C.",1,1,"15-year-old Tyrone Perry, was killed at Hine Junior High School.[139]",0,0,2,1970-01-05,Washington,D.C.,"Washington, D.C.","Washington, D.C., USA","Washington, D.C., USA","(38.8950092, -77.0365625)",38.8950092,-77.0365625,1,1970,5
120,"February 11, 1970","Philadelphia, Pennsylvania",2,1,"University of Pennsylvania professors, 40-year-old Walter Koppelman, and 45-year-old Oscar Goldman, were shot by 33-year-old disgruntled graduate student, Robert Cantor, during a seminar. Cantor then took his own life. Koppelman died March 5 from his injuries, but Goldman recovered.[140]",3,0,3,1970-02-11,Philadelphia,Pennsylvania,"Philadelphia, Pennsylvania","Philadelphia, Philadelphia County, Pennsylvania, USA","Philadelphia, Philadelphia County, Pennsylvania, USA","(39.9527237, -75.1635262)",39.9527237,-75.1635262,2,1970,11
121,"April 23, 1970","Wilmington, Delaware",1,0,"A PS duPont High School 17-year-old football player Derek A Johnson was shot and killed by 16-year-old Carlton E Thornton, a teammate, who had confronted him in an effort to stop the bullying against his siblings. Thornton was sentenced to 10 years in prison but was released on probation after serving 7 years. The school is now a Middle School.[141]",0,0,1,1970-04-23,Wilmington,Delaware,"Wilmington, Delaware","Wilmington, New Castle County, Delaware, USA","Wilmington, New Castle County, Delaware, USA","(39.7459468, -75.546589)",39.7459468,-75.546589,4,1970,23
122,"May 4, 1970","Kent, Ohio",4,9,"Kent State shootings: During protests against the bombings in Cambodia during the Vietnam War, members of the Ohio National Guard shot and killed 4 unarmed college students and injured a further 9. The shootings led to protests and strikes on colleges all across the United States.",0,0,13,1970-05-04,Kent,Ohio,"Kent, Ohio","Kent, Portage County, Ohio, USA","Kent, Portage County, Ohio, USA","(41.1536674, -81.357886)",41.1536674,-81.357886,5,1970,4
123,"May 15, 1970","Jackson, Mississippi",2,12,"Jackson State shootings: Shortly after midnight, a group of students were confronted by city and state police.  The police opened fire, killing two students and injuring twelve. The event happened only 11 days after the Kent State shootings, in which National Guardsmen killed four students at Kent State University in Ohio, which had first captured national attention.",0,0,14,1970-05-15,Jackson,Mississippi,"Jackson, Mississippi","Jackson, Hinds County, Mississippi, 39269, USA","Jackson, Hinds County, Mississippi, 39269, USA","(32.2990384, -90.1847691)",32.2990384,-90.1847691,5,1970,15
124,"November 20, 1970","Chicago, Illinois",0,2,"Two students were shot while standing in a second floor hallway of Harlan High School. 15-year-old Kenneth House, was shot in the lower left abdomen, his condition was described as serious. 14-year-old Portia Walls, suffered a superficial wound on her lower back. The incident was thought to have involved gang recruiting in the school.[142]",0,0,2,1970-11-20,Chicago,Illinois,"Chicago, Illinois","Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,11,1970,20
125,"February 2, 1971","Philadelphia, Pennsylvania",1,0,"56-year-old teacher, Samson L. Freedman, was killed as he left Morris E. Leeds School, by 14-year-old student, Kevin Simmons. Freedman had suspended Simmons earlier in the day for cursing in the hallway.[143]",0,0,1,1971-02-02,Philadelphia,Pennsylvania,"Philadelphia, Pennsylvania","Philadelphia, Philadelphia County, Pennsylvania, USA","Philadelphia, Philadelphia County, Pennsylvania, USA","(39.9527237, -75.1635262)",39.9527237,-75.1635262,2,1971,2
126,"November 11, 1971","Spokane, Washington",2,4,"21-year-old former MIT student, Larry J. Harmon, armed with a rifle, killed 68-year-old caretaker, Hilary Kunzon, who came upon him wrecking St. Aloysius Roman Catholic Church, then fled onto the campus of Gonzaga University, where he wounded four more people before he was shot and killed by police. Harmon was described by his father as a religious fanatic claiming to have visions.[144]",3,0,6,1971-11-11,Spokane,Washington,"Spokane, Washington","Spokane, Spokane County, Washington, USA","Spokane, Spokane County, Washington, USA","(47.6579425, -117.4212265)",47.6579425,-117.4212265,11,1971,11
127,"February 26, 1973","Richmond, Virginia",1,0,"17-year-old Wayne Phillips, was killed when he was caught between two youths who were fighting in the hallway of Armstrong High School.[145]",0,0,1,1973-02-26,Richmond,Virginia,"Richmond, Virginia","Richmond, Richmond City, Virginia, 23298, USA","Richmond, Richmond City, Virginia, 23298, USA","(37.5385087, -77.43428)",37.5385087,-77.43428,2,1973,26
128,"November 6, 1973","Oakland, California",1,1,"School superintendent Marcus Foster, was killed and his assistant Robert Blackburn, was wounded when members of the Symbionese Liberation Army opened fire on them as they exited a school board meeting. Two members of the SLA were later arrested and convicted of the crime. Both were sentenced to life in prison without the possibility of parole. The SLA had reportedly believed that Foster supported a measure to install police on school grounds and make students carry identification cards. In reality, Foster opposed both measures.[146]",0,0,2,1973-11-06,Oakland,California,"Oakland, California","Oakland, Alameda County, California, USA","Oakland, Alameda County, California, USA","(37.8044557, -122.2713563)",37.8044557,-122.2713563,11,1973,6
129,"January 17, 1974","Chicago, Illinois",1,0,"52-year-old elementary school principal, Rudolph Jezek Jr., was killed in his office by 14-year-old Steven Guy, a former student said to be angry about being transferred to a social adjustment center.[147]",0,0,1,1974-01-17,Chicago,Illinois,"Chicago, Illinois","Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,1,1974,17
130,"March 22, 1974","Brownstown, Indiana",1,0,"48-year-old James T. Blevins, athletic director at Brownstown Central High School, was fatally shot in the school parking lot by a 17-year-old student waiting for him. He gave the police no motive.[148]",0,0,1,1974-03-22,Brownstown,Indiana,"Brownstown, Indiana","Brownstown, Jackson County, Indiana, 47220, USA","Brownstown, Jackson County, Indiana, 47220, USA","(38.8789426, -86.0419247)",38.8789426,-86.0419247,3,1974,22
131,"October 4, 1974","Kent, Ohio",0,1,"19-year-old McKeesport student, Ray D. Gilmore, was wounded in a scuffle with two men in his third floor campus dormitory room. 26-year-old Benjamin F. Goodman and 22-year-old Carl Bell, who were not students, had their .32 caliber pistols taken and were wrestled to the floor by other students.[149]",0,0,1,1974-10-04,Kent,Ohio,"Kent, Ohio","Kent, Portage County, Ohio, USA","Kent, Portage County, Ohio, USA","(41.1536674, -81.357886)",41.1536674,-81.357886,10,1974,4
132,"December 30, 1974","Olean, New York",3,11,"Olean High School shooting: During a two-and-a-half-hour siege, 17-year-old honor student, Anthony Barbaro, the best on his rifle team, killed three adults, one being pregnant, in and around his high school and wounded eleven other persons.[150][151] He shot from the windows out at the street and neighborhood. The school was closed for the Christmas holiday.[152] Barbaro committed suicide in prison before he could stand trial.",0,0,14,1974-12-30,Olean,New York,"Olean, New York","Olean, Cattaraugus County, New York, 14760, USA","Olean, Cattaraugus County, New York, 14760, USA","(42.077565, -78.4297419)",42.077565,-78.4297419,12,1974,30
133,"February 18, 1975","Poughkeepsie, New York",1,0,"Freshman Shelley Sperling was shot and killed in the dining hall by her ex-boyfriend, Louis Acevedo.[153]",0,0,1,1975-02-18,Poughkeepsie,New York,"Poughkeepsie, New York","Poughkeepsie, Dutchess County, New York, 12601, USA","Poughkeepsie, Dutchess County, New York, 12601, USA","(41.7065779, -73.9284101)",41.7065779,-73.9284101,2,1975,18
134,"February 24, 1975","Penns Grove, New Jersey",1,1,"24-year-old David Gary killed the 33-year-old Reverend Thomas Quinlan, inside a classroom at St. James School. Quinlan was the school's principal. A teacher was also wounded.[154] Gary was sentenced to life in prison for the crime.[155]",0,0,2,1975-02-24,Penns Grove,New Jersey,"Penns Grove, New Jersey","Penns Grove, Salem County, New Jersey, USA","Penns Grove, Salem County, New Jersey, USA","(39.7295581, -75.4679734)",39.7295581,-75.4679734,2,1975,24
135,"March 18, 1975","St. Louis, Missouri",1,0,"16-year-old Stephen Goods, a bystander, was killed during a fight between other teens. Three youths were convicted for the homicide.[151]",0,0,1,1975-03-18,St. Louis,Missouri,"St. Louis, Missouri","Saint Louis, City of Saint Louis, Missouri, USA","Saint Louis, City of Saint Louis, Missouri, USA","(38.6268039, -90.1994097)",38.6268039,-90.1994097,3,1975,18
136,"September 11, 1975","Oklahoma City, Oklahoma",1,5,"Student James Briggs killed fellow student Randy Truitt at Grant High School, wounding several others.[156]",0,0,6,1975-09-11,Oklahoma City,Oklahoma,"Oklahoma City, Oklahoma","Oklahoma City, Oklahoma County, Oklahoma, USA","Oklahoma City, Oklahoma County, Oklahoma, USA","(35.4729886, -97.5170536)",35.4729886,-97.5170536,9,1975,11
137,"February 12, 1976","Detroit, Michigan",0,5,"Intruders entered Murray-Wright High School, shooting and wounding five students after an apparent dispute over a girlfriend of one of the intruders.[157]",0,0,5,1976-02-12,Detroit,Michigan,"Detroit, Michigan","Detroit, Wayne County, Michigan, USA","Detroit, Wayne County, Michigan, USA","(42.3315509, -83.0466403)",42.3315509,-83.0466403,2,1976,12
138,"July 12, 1976","Fullerton, California",7,2,"California State University, Fullerton massacre: The gunman, 37-year-old Edward Charles Allaway, was a custodian at the California State University, Fullerton library. Allaway killed seven people and wounded two others in the library's first-floor lobby and at the building's Instructional Media Center (IMC), located in the basement. Allaway was convicted of murder, but a judge ruled him insane and ordered him to be confined to a mental institution.",0,0,9,1976-07-12,Fullerton,California,"Fullerton, California","Fullerton, Orange County, California, United States of America","Fullerton, Orange County, California, United States of America","(33.8708215, -117.9294165)",33.8708215,-117.9294165,7,1976,12
139,"April 7, 1977","Whitharral, Texas",1,0,"High School principal, M. O. Tripp, was killed on the front steps of the school by 17-year-old student, Ricardo Lopez, for unknown reasons.[158] Lopez was convicted of murder and subsequently sentenced to life in prison.[159]",0,0,1,1977-04-07,Whitharral,Texas,"Whitharral, Texas","Whitharral, Hockley County, Texas, 79380, USA","Whitharral, Hockley County, Texas, 79380, USA","(33.7375948, -102.3271221)",33.7375948,-102.3271221,4,1977,7
140,"November 19, 1977","Washington, DC",0,2,"""As about 50 horrified students scattered for safety, a young man wearing a hood and surgical mask yesterday shot and seriously injured the business manager of St. John's College High School in northwest Washington during a robbery attempt in the school cafeteria, District police said.""[160]",0,0,2,1977-11-19,Washington,DC,"Washington, DC","Washington, D.C., USA","Washington, D.C., USA","(38.8950092, -77.0365625)",38.8950092,-77.0365625,11,1977,19
141,"January 11, 1978","Hopkinsville, Kentucky",0,1,"At 8:10 a.m., 13-year-old student, Andre Davis, was wounded while watching a fight between two students in the front lobby of Christian County Middle School, one of whom had a gun. A 16-year-old was charged with the assault.[161]",0,0,1,1978-01-11,Hopkinsville,Kentucky,"Hopkinsville, Kentucky","Hopkinsville, Christian County, Kentucky, 42240, USA","Hopkinsville, Christian County, Kentucky, 42240, USA","(36.8657651, -87.4889532)",36.8657651,-87.4889532,1,1978,11
142,"February 9, 1978","St. Albans, West Virginia",1,0,"14-year-old Hayes Junior High School student, Stuart Wayne Perrock, killed 14-year-old schoolmate, Arthur Clinton Smith. After which he fled the school sparking a search that lasted several hours before he was arrested and he was tried as a juvenile.[162][163]",0,0,1,1978-02-09,St. Albans,West Virginia,"St. Albans, West Virginia","St. Albans, Kanawha County, West Virginia, 25177, USA","St. Albans, Kanawha County, West Virginia, 25177, USA","(38.3856488, -81.836241)",38.3856488,-81.836241,2,1978,9
143,"February 22, 1978","Lansing, Michigan",1,1,"After being taunted for his beliefs, 15-year-old Roger Needham, a self-proclaimed neo-Nazi, killed one student and wounded a second with a pistol at Everett High School. He was tried as a juvenile for the crime.[151][164][165]",0,0,2,1978-02-22,Lansing,Michigan,"Lansing, Michigan","Lansing, Ingham County, Michigan, USA","Lansing, Ingham County, Michigan, USA","(42.7337712, -84.5553805)",42.7337712,-84.5553805,2,1978,22
144,"April 26, 1978","Dallas, Texas",1,0,"38-year-old Woodrow Porter, a janitor at Paul Dunbar Elementary School, was killed by the 56-year-old grandmother of an 8-year-old who was allegedly spanked by Porter earlier.[166]",0,0,1,1978-04-26,Dallas,Texas,"Dallas, Texas","Dallas, Dallas County, Texas, United States of America","Dallas, Dallas County, Texas, United States of America","(32.7762719, -96.7968559)",32.7762719,-96.7968559,4,1978,26
145,"May 18, 1978","Austin, Texas",1,0,"13-year-old John Daniel Christian, son of Lyndon B. Johnson's former press secretary George Christian, killed his English teacher, 29-year-old Wilbur Grayson, with his father's rifle in front of approximately thirty classmates at Murchison Junior High School.[150][151] Christian was arrested and charged but not prosecuted; he was committed to a mental hospital where he was treated for a period and released.[167]",0,0,1,1978-05-18,Austin,Texas,"Austin, Texas","Austin, Travis County, Texas, United States of America","Austin, Travis County, Texas, United States of America","(30.2711286, -97.7436995)",30.2711286,-97.7436995,5,1978,18
146,"October 17, 1978","University City, Missouri",0,4,"18-year-old Larry Ward and two companions were escorted from the halls of University City High School following a fight with 18-year-old student, Carl Triplett. Ward ran back into the building with a gun and fired shots into a group, critically injuring Triplett in the chest and hip, and wounding 17-year-old Angela Darden and 16-year-old Jennifer Pride. Ward sustained a head injury as he was tackled by assistant principal, Franklin McCallie. His companions grabbed the gun and fled.[168]",0,0,4,1978-10-17,University City,Missouri,"University City, Missouri","U. City, Saint Louis County, Missouri, 63130, USA","U. City, Saint Louis County, Missouri, 63130, USA","(38.6569083, -90.3103443)",38.6569083,-90.3103443,10,1978,17
147,"October 17, 1978","Lanett, Alabama",0,1,"13-year-old Robin Robinson, was paddled by Lanett Junior High School principal, Lewis Hoggs, after having a disagreement with another student. Robinson left the school, and returned with a .22-caliber handgun and shot Hoggs, grazing the top of his head.[150][169][170] Robinson was arrested two hours later about two blocks from the school, and later charged in juvenile court.[167][171][172]",0,0,1,1978-10-17,Lanett,Alabama,"Lanett, Alabama","Lanett, Chambers County, Alabama, 36863, USA","Lanett, Chambers County, Alabama, 36863, USA","(32.8687391, -85.1904971)",32.8687391,-85.1904971,10,1978,17
148,"January 29, 1979","San Diego, California",2,9,"Cleveland Elementary School shooting: 16-year-old Brenda Spencer opened fire on Grover Cleveland Elementary School from her home across the street, killing two adults and wounding nine people. Spencer was sentenced to 25 years to life and remains in prison.[151][173][174][175][176][177]",0,0,11,1979-01-29,San Diego,California,"San Diego, California","San Diego, San Diego County, California, USA","San Diego, San Diego County, California, USA","(32.7174209, -117.1627714)",32.7174209,-117.1627714,1,1979,29
149,"April 16, 1979","Milwaukee, Wisconsin",0,1,"17-year-old Timothy Stahle was critically wounded in the leg and upper thigh, with shot gun pellets, as he threw rocks at the windows of Wisconsin Lutheran High School. 28-year-old school janitor, Kenneth B. Stein, was arrested.[178]",0,0,1,1979-04-16,Milwaukee,Wisconsin,"Milwaukee, Wisconsin","Milwaukee, Milwaukee County, Wisconsin, United States of America","Milwaukee, Milwaukee County, Wisconsin, United States of America","(43.0349931, -87.922497)",43.0349931,-87.922497,4,1979,16
150,"September 28, 1979","Charlestown, Massachusetts",0,1,"15-year-old sophomore, Darryl Williams, was shot in the neck by a sniper during the half-time interval, while standing with teammates and coach in the end zone of the Charlestown High School football field. The player for the predominantly black Jamaica Plain High School team was left paralysed. A racial motivation was determined by Mayor Kevin White.[179] 17-year-old white youths, Joseph Nardone and Stephen McGonagle, were charged with the shooting and received ten-year sentences.[180]",0,0,1,1979-09-28,Charlestown,Massachusetts,"Charlestown, Massachusetts","Charlestown, Boston, Suffolk County, Massachusetts, 02129, USA","Charlestown, Boston, Suffolk County, Massachusetts, 02129, USA","(42.3778749, -71.0619957)",42.3778749,-71.0619957,9,1979,28
151,"January 7, 1980","Stamps, Arkansas",1,0,"16-year-old Evan Hampton, high school freshman student at Lafayette County High School, waited in a classroom for 19-year-old student Mike Sanders, whom he immediately killed. Hampton went to the principal's office, turned in the gun and waited for his arrest by police.[181]",0,0,1,1980-01-07,Stamps,Arkansas,"Stamps, Arkansas","Stamps, Lafayette County, Arkansas, 71860, USA","Stamps, Lafayette County, Arkansas, 71860, USA","(33.3654024, -93.4951758)",33.3654024,-93.4951758,1,1980,7
152,"March 20, 1980","Dallas, Texas",1,0,"49-year-old fifth grade teacher, Rosie Pearson, was killed in J. Leslie Patton School by an unknown assailant.[182]",0,0,1,1980-03-20,Dallas,Texas,"Dallas, Texas","Dallas, Dallas County, Texas, United States of America","Dallas, Dallas County, Texas, United States of America","(32.7762719, -96.7968559)",32.7762719,-96.7968559,3,1980,20
153,"March 26, 1980","Big Rapids, Michigan",1,0,"Business professor Robert Brauer was killed in class by his 20-year-old student, Thomas Kakonis, at Ferris State College; Kakonis had failed an exam in his class. Kakonis is the son of an associate dean at the college.[183]",0,0,1,1980-03-26,Big Rapids,Michigan,"Big Rapids, Michigan","Big Rapids, Mecosta County, Michigan, 49307, USA","Big Rapids, Mecosta County, Michigan, 49307, USA","(43.698078, -85.483656)",43.698078,-85.483656,3,1980,26
154,"October 31, 1980","Hueytown, Alabama",1,1,"17-year-old Rudy Farmer, pulled out a .22 caliber pistol and wounded a fellow student in the art room of Hueytown High School, he then turned his gun on himself.[184]",3,0,2,1980-10-31,Hueytown,Alabama,"Hueytown, Alabama","Hueytown, Jefferson County, Alabama, USA","Hueytown, Jefferson County, Alabama, USA","(33.458103, -86.9523327607997)",33.458103,-86.9523327607997,10,1980,31
155,"January 27, 1981","Fayetteville, Arkansas",1,1,"19-year-old former freshman, James Howard Taylor, brought a 12-gauge single-shot shotgun into the Delta Delta Delta sorority house on the University of Arkansas campus. He entered the house at 5:45 p.m. and terrorized an initiation dinner. After attempting to negotiate a surrender, he was shot by police when he aimed his shot gun into the dining room.[185]",3,0,2,1981-01-27,Fayetteville,Arkansas,"Fayetteville, Arkansas","Fayetteville, Washington County, Arkansas, USA","Fayetteville, Washington County, Arkansas, USA","(36.0625843, -94.1574328)",36.0625843,-94.1574328,1,1981,27
156,"April 17, 1981","Ann Arbor, Michigan",2,0,"As students fled their rooms, after a homemade firebomb set a minor blaze on the sixth floor hallway of Bursley Hall dormitory, 22-year-old psychology student, Leo E. Kelly Jr., fired a sawn-off 12-gauge shotgun at his University of Michigan schoolmates at point-blank range. 19-year-old pre-medical student, Edward Siwik, and 21-year-old resident advisor, Douglas C. McGreaham, died at hospitals a few hours later. Kelly had been dismissed from UM once and was on the verge of another dismissal because of falling grades.[186][187] In 1982, he was convicted on two counts of first-degree murder and sentenced to life.[188]",0,0,2,1981-04-17,Ann Arbor,Michigan,"Ann Arbor, Michigan","Ann Arbor, Washtenaw County, Michigan, USA","Ann Arbor, Washtenaw County, Michigan, USA","(42.2681569, -83.7312291)",42.2681569,-83.7312291,4,1981,17
157,"December 16, 1981","Portland, Oregon",2,0,"Shortly before noon in Engineering Hall on the school's campus in north Portland, 34-year-old University of Portland night janitor, John C. Holbrook, killed 37-year-old engineering teacher, Brian D. Massey, before taking his own life.[189]",3,0,2,1981-12-16,Portland,Oregon,"Portland, Oregon","Portland, Multnomah County, Oregon, USA","Portland, Multnomah County, Oregon, USA","(45.5202471, -122.6741949)",45.5202471,-122.6741949,12,1981,16
158,"March 19, 1982","Las Vegas, Nevada",1,2,"17-year-old Valley High School student, Patrick Lizotte, killed his teacher Clarence Pigott and wounded two students.[151][190] Lizotte was originally sentenced to life in prison without parole, but his sentence was lowered in 2015 due to the 2017 Nevada Assembly Bill 267, which “revises provisions concerning the sentencing and parole of persons convicted as an adult for a crime committed when the person was less than 18 years of age and was paroled in 2017.[191][192]",0,0,3,1982-03-19,Las Vegas,Nevada,"Las Vegas, Nevada","Las Vegas, Clark County, Nevada, USA","Las Vegas, Clark County, Nevada, USA","(36.1662859, -115.149225)",36.1662859,-115.149225,3,1982,19
159,"April 7, 1982","Littleton, Colorado",1,0,"13-year-old Deer Creek Junior High School student, Scott Darwin Michael, was killed by 14-year-old classmate, Jason Price Rocha. Rocha was tried as an adult and sentenced to twelve years, plus one year of parole.[193]",0,0,1,1982-04-07,Littleton,Colorado,"Littleton, Colorado","Littleton, Arapahoe County, Colorado, USA","Littleton, Arapahoe County, Colorado, USA","(39.613321, -105.0166498)",39.613321,-105.0166498,4,1982,7
160,"November 12, 1982","Jackson, Mississippi",2,0,"18-year-old school dropout, James Hartzog, killed his girlfriend, 17-year-old Faye Williams in her algebra class at Wingfield High School. Hartzog then took his own life.[194]",3,0,2,1982-11-12,Jackson,Mississippi,"Jackson, Mississippi","Jackson, Hinds County, Mississippi, 39269, USA","Jackson, Hinds County, Mississippi, 39269, USA","(32.2990384, -90.1847691)",32.2990384,-90.1847691,11,1982,12
